SKU,Name,Category,Price (AED),Description,Sizes,Colors,Images,In stock,Published,Sort order
NBN-01,Premium Yoga Mat,Mats > Premium Mats,540,"Extra-thick 5/6mm printed mat for a stable, non-slip, cushioned practice at home or in the studio.",,,https://www.neatbynicky.com/wp-content/uploads/2023/05/2-1.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/05/1.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/05/3-1.jpg,yes,yes,10
NBN-16,Eco-friendly Yoga Mat,Mats > Cork Mats,280,"Cork-and-natural-rubber mat — antimicrobial, water-resistant and odour-free, with better grip the more you sweat.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-16.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-17.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-16.jpg,yes,yes,20
NBN-10-G,Balanced Yoga Mats,Mats > Balanced Mats,269,"Natural tree rubber alignment mat with extra thickness for grip and joint protection.",,Blue:#0066bf | Grey:#a0a0a0 | Pink:#ea3cb3 | Purple:#8e86c2,https://www.neatbynicky.com/wp-content/uploads/2023/06/3-23.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/10.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/4-10.jpg,yes,yes,30
NBN-15,Dual Color Type Yoga Mat,Mats > TPE Yoga Mat,189,"Reversible, non-toxic TPE mat — lightweight, antimicrobial and easy to clean. Use either side.",,Blue:#0066bf | Magenta:#7d527d | Pink:#ea3cb3 | Purple:#8e86c2 | Red:#dd3333,https://www.neatbynicky.com/wp-content/uploads/2023/06/8-1.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-13.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/5-2.jpg,yes,yes,40
NBN-21-4,Jute Mats,Mats > Jute Mats,230,"Jute-topped mat bonded to PER (Polymer Environmental Friendly Resin) for a natural, grounded feel.",,Black:#000000 | Blue:#0066bf | Cream:#ad8d77 | Green:#1b9b18 | Maroon | Purple:#8e86c2,https://www.neatbynicky.com/wp-content/uploads/2023/06/0816.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/0811.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/0796.jpg,yes,yes,50
NBN-24,Astrological,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-24.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-22.jpg,yes,yes,60
NBN-25,Blue Floral,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-25.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-23.jpg,yes,yes,70
NBN-26,Dark Floral,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-26.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-24.jpg,yes,yes,80
NBN-28,Pink Floral,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-28.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-26.jpg,yes,yes,90
NBN-29,Rangoli,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-29.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-27.jpg,yes,yes,100
NBN-30,Retro Boy,Mats > Meditation Yoga Mat,269,"Natural tree rubber mat with maximum floor grip and joint-protecting thickness for grounded practice.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-30.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-28.jpg,yes,yes,110
NBN-1,Asian Elephant,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-38.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-29.jpg,yes,yes,120
NBN-3,Dark Chakra Mat,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-39.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-2.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-30.jpg,yes,yes,130
NBN-4,Dream Catcher Yoga Mat,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-53-1-e1694169164692.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-3.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-47.jpg,yes,yes,140
NBN-5,Dubai Yoga Mats,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/4-16.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-4.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-34.jpg,yes,yes,150
NBN-6,Galaxy Mat,Mats > Suede Chunky Mats,360,"Best-selling suede-top natural rubber mat, ideal for hot and Bikram yoga. Spray with water to activate the non-slip grip.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/2-44.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-5.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-35.jpg,yes,yes,160
NBN-20,Indian Elephant,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/3-38.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-1.png | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-48.jpg,yes,yes,170
NBN-22,Maroon Elephant,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/6-6.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-20.jpg,yes,yes,180
NBN-32,Chakra Healing Mat,Mats > Suede Chunky Mats,360,"Chakra-aligned suede-top mat for focused, grounded practice from the base of the spine to the crown.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/3-43.jpg,yes,yes,190
NBN-33,Grey Elephant,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/GREY-ELEPHANT-1.jpg,yes,yes,200
NBN-34,Om Sude Mat,Mats > Suede Chunky Mats,360,"Natural tree rubber suede-top mat with a wear-resistant base and superb grip — the more you sweat, the better it holds.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/OM-SUEDE-MAT-1.jpg,yes,yes,210
NBN-35,Space Mat,Mats > Suede Chunky Mats,360,"Eco-friendly suede-top travel companion in natural rubber — practice like you are doing yoga in your own galaxy.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/SPACE-MAT-1.jpg,yes,yes,220
NBN-2,Dark Chakra,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-38.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-42.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-40.jpg,yes,yes,230
NBN-9,Asian Elephant Mat,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/3-25.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-32.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-34.jpg,yes,yes,240
NBN-13,Dream Catcher Mat,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-40.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-33.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-26.jpg,yes,yes,250
NBN-17,Dubai Yoga Mats,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-14.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-15.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-14.jpg,yes,yes,260
NBN-23,Maroon Elephant Mat,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-43.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-36.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-27.jpg,yes,yes,270
NBN-31,My Yoga Mat Knows Me Better Than Anyone,Mats > Travel Mats,279,"Lightweight travel mat in natural tree rubber. Rolls up small and comes with a free mat bag.",,,https://www.neatbynicky.com/wp-content/uploads/2023/06/4-14.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-21.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/1-35.jpg,yes,yes,280
NBN-27,Cycling Short,Activewear > Shorts,269,"Breathable, quick-drying stretch cycling shorts for yoga — freedom of movement with a versatile style.",S | M | L | XL,,https://www.neatbynicky.com/wp-content/uploads/2023/06/24.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/23.jpg,yes,yes,290
NBN-44,Seamless Bra,Activewear > Sports Bra,269,"Seamless, moisture-wicking sports bra offering supportive comfort that moves with you.",S | M | L | XL,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-49.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-55.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/3-45.jpg,yes,yes,300
NBN-50,Light Form Bra,Activewear > Sports Bra,190,"Lightweight, breathable sports bra with a soft, gentle feel and a cosy, unrestricted fit.",S | M | L | XL,,https://www.neatbynicky.com/wp-content/uploads/2023/06/1-50.jpg | https://www.neatbynicky.com/wp-content/uploads/2023/06/2-56.jpg,yes,yes,310
